index,location,type,count,date
366,Waterford Elementary,Employees,1,2021-08-06
367,West Oaks Elementary,Employees,1,2021-08-06
368,Apopka High,Employees,1,2021-08-05
369,Bay Lake Elementary,Employees,1,2021-08-05
370,Camelot Elementary,Employees,1,2021-08-05
371,Evans High,Employees,2,2021-08-05
372,Facilities Services,Employees,1,2021-08-05
373,Freedom High,Employees,1,2021-08-05
374,Lake George Elementary,Employees,1,2021-08-05
375,Lake Silver Elementary,Employees,1,2021-08-05
376,Lakeview Middle,Employees,1,2021-08-05
377,Lancaster Elementary,Employees,1,2021-08-05
378,Lockhart Elementary,Employees,1,2021-08-05
379,Meadowbrook Middle,Employees,1,2021-08-05
380,Memorial Middle,Employees,1,2021-08-05
381,Oak Ridge High,Employees,1,2021-08-05
382,Ocoee Elementary,Employees,1,2021-08-05
383,Orange Technical College - Mid Florida,Employees,1,2021-08-05
384,Palm Lake Elementary,Employees,1,2021-08-05
385,Teaching and Learning,Employees,5,2021-08-05
386,Wyndham Lakes Elementary,Employees,1,2021-08-05
387,Baldwin Park Elementary,Employees,2,2021-08-04
388,Clay Springs Elementary,Employees,1,2021-08-04
389,Edgewater High,Employees,1,2021-08-04
390,Evans High,Employees,1,2021-08-04
391,Facilities Services,Employees,2,2021-08-04
392,Forsyth Woods Elementary,Employees,1,2021-08-04
393,Ivey Lane Elementary,Employees,1,2021-08-04
394,Lake Como School (K-8),Employees,1,2021-08-04
395,Odyssey Middle,Employees,1,2021-08-04
396,Operations,Employees,1,2021-08-04
397,Orange Technical College - Mid Florida,Employees,1,2021-08-04
398,Rosemont Elementary,Employees,1,2021-08-04
399,Sunridge Elementary,Employees,1,2021-08-04
400,Timber Lakes Elementary,Employees,1,2021-08-04
401,Carver Middle,Employees,1,2021-08-03
402,Cheney Elementary,Employees,1,2021-08-03
403,Colonial High,Employees,1,2021-08-03
404,East Lake Elementary,Employees,1,2021-08-03
405,Facilities Services,Employees,2,2021-08-03
406,Freedom High,Employees,1,2021-08-03
407,Freedom Middle,Employees,1,2021-08-03
408,Lake Gem Elementary,Employees,1,2021-08-03
409,Meadow Woods Middle,Employees,1,2021-08-03
410,Operations,Employees,1,2021-08-03
411,Ridgewood Park Elementary,Employees,2,2021-08-03
412,Sadler Elementary,Employees,2,2021-08-03
413,Sunridge Elementary,Employees,1,2021-08-03
414,Teaching and Learning,Employees,3,2021-08-03
