location,addr,level,lat,long
LAKE EOLA CHARTER,"135 N MAGNOLIA AVE ORLANDO, FL 32801-2301",Elementary,28.5442446,-81.3771036
LAKE GEM ELEMENTARY,"4801 BLOODHOUND ST ORLANDO, FL 32818-8747",Elementary,28.6047563,-81.48753769999999
LAKE GEORGE ELEMENTARY,"4101 GATLIN AVE ORLANDO, FL 32812-7771",Elementary,28.4959381,-81.3157871
LAKE SILVER ELEMENTARY,"2401 N RIO GRANDE AVE ORLANDO, FL 32804-4827",Elementary,28.573779,-81.400769
LAKE SYBELIA ELEMENTARY,"600 SANDSPUR RD MAITLAND, FL 32751-4747",Elementary,28.6308733,-81.3714767
LAKE WESTON ELEMENTARY,"5500 MILAN DRIVE ORLANDO, FL 32810-4405",Elementary,28.6123615,-81.4117576
LAKE WHITNEY ELEMENTARY,"1351 WINDERMERE RD WINTER GARDEN, FL 34787-5513",Elementary,28.5265508,-81.5568146
LAKEMONT ELEMENTARY,"901 N LAKEMONT AVENUE WINTER PARK, FL 32792-2505",Elementary,28.6063763,-81.3292835
LAKEVILLE ELEMENTARY,"2015 LAKEVILLE RD APOPKA, FL 32703-8289",Elementary,28.6456135,-81.4794527
LANCASTER ELEMENTARY,"6700 SHERYL ANN DR ORLANDO, FL 32809-6543",Elementary,28.4603307,-81.377774
LAUREATE PARK ELEMENTARY,"7800 LAUREATE BLVD ORLANDO, FL 32827-7461",Elementary,28.3657509,-81.26797169999999
LAWTON CHILES ELEMENTARY,"11001 BLOOMFIELD DR ORLANDO, FL 32825-5986",Elementary,28.5546,-81.22735700000001
LEGENDS ACADEMY CHARTER,"3032 MONTE CARLO TRL ORLANDO, FL 32805-4354",Elementary,28.5280334,-81.4154068
LITTLE RIVER ELEMENTARY,"100 CASWELL DR ORLANDO, FL 32825-3500",Elementary,28.5459776,-81.2711369
LOCKHART ELEMENTARY,"7500 EDGEWATER DR ORLANDO, FL 32810-3432",Elementary,28.6236127,-81.4426062
LOVELL ELEMENTARY,"815 ROGER WILLIAMS RD APOPKA, FL 32703-5509",Elementary,28.6686979,-81.4837879
LUCIOUS AND EMMA NIXON ACADEMY CHARTER,"1780 MERCY DR ORLANDO, FL 32808-6527",Elementary,28.566435,-81.431721
MAGNOLIA,"1900 MATTERHORNE DR ORLANDO, FL 32818-5836",Elementary,28.5677407,-81.4874519
MAXEY ELEMENTARY,"602 E STORY RD WINTER GARDEN, FL 34787-3662",Elementary,28.5576192,-81.5760088
MCCOY ELEMENTARY,"5225 S SEMORAN BLVD ORLANDO, FL 32822-1732",Elementary,,
MCKAY SCHOLARSHIP,"445 W AMELIA ST ORLANDO, FL 32801-1129",Elementary,28.5498139,-81.38427620000002
MEADOW WOODS ELEMENTARY,"500 RHODE ISLAND WOODS CIR ORLANDO, FL 32824-9375",Elementary,28.371428,-81.3625416
METROWEST ELEMENTARY,"1801 LAKE VILMA DR ORLANDO, FL 32835-6172",Elementary,28.5208484,-81.4931131
MILLENNIA ELEMENTARY,"5301 CYPRESS CREEK BLVD ORLANDO, FL 32811-7605",Elementary,28.4856316,-81.4443028
MILLENNIA GARDENS ELEMENTARY,"3515 GARDENS RIDGE WAY ORLANDO, FL 32839-2172",Elementary,28.4950167,-81.4207728
MOLLIE RAY ELEMENTARY,"2000 BEECHER ST ORLANDO, FL 32808-5565",Elementary,28.5708182,-81.4493997
MOSS PARK ELEMENTARY,"9301 N SHORE GOLF CLUB BLVD ORLANDO, FL 32832-6032",Elementary,28.40966,-81.217207
NAP FORD COMMUNITY CHARTER,"325 N PARRAMORE AVE ORLANDO, FL 32801-1402",Elementary,28.5467013,-81.3879949
NORTHLAKE PARK COMMUNITY ELEMENTARY,"9055 NORTHLAKE PKWY ORLANDO, FL 32827-5706",Elementary,28.4220545,-81.262681
OAK HILL ELEMENTARY,"11 S HIAWASSEE RD ORLANDO, FL 32835-1001",Elementary,28.5405961,-81.4736927
OAKLAND AVENUE CHARTER,"456 E OAKLAND AVE OAKLAND, FL 34760-0949",Elementary,28.5542124,-81.62214790000002
OAKSHIRE ELEMENTARY,"14501 OAKSHIRE BLVD ORLANDO, FL 32824-5234",Elementary,28.354363,-81.37393999999999
OASIS PREPARATORY ACADEMY CHARTER,"5200 W SOUTH ST ORLANDO, FL 32811-1758",Elementary,28.5374225,-81.4486702
OCOEE ELEMENTARY,"400 S LAKEWOOD AVE OCOEE, FL 34761-2716",Elementary,28.5656337,-81.5408515
OCPS ACADEMIC CENTER FOR EXCELLENCE,"701 W LIVINGSTON ST ORLANDO, FL 32805-1535",Elementary,28.5476437,-81.38951720000001
OCVS DIGITAL ACADEMY,"1600 SILVER STAR RD ORLANDO, FL 32804-3442",Elementary,28.5777672,-81.40338539999999
OCVS VIRTUAL FRANCHISE,"1600 SILVER STAR RD ORLANDO, FL 32804-3442",Elementary,28.5777672,-81.40338539999999
OCVS VIRTUAL INSTRUCTION COURSE OFFERING,"1600 SILVER STAR RD ORLANDO, FL 32804-3442",Elementary,28.5777672,-81.40338539999999
OCVS VIRTUAL INSTRUCTION PROGRAM,"1600 SILVER STAR RD ORLANDO, FL 32804-3442",Elementary,28.5777672,-81.40338539999999
ORANGE CENTER ELEMENTARY,"621 S TEXAS AVE ORLANDO, FL 32805-3064",Elementary,28.5342847,-81.40836589999999
ORANGE COUNTY PREP ACADEMY CHARTER,"10250 UNIVERSITY BLVD ORLANDO, FL 32817-1905",Elementary,28.595576,-81.239498
ORION PREPARATORY ACADEMY CHARTER,"FUTURE CHARTER SCHOOL ORLANDO, FL",Elementary,28.5736647,-81.4129559
ORLANDO GIFTED ACADEMY,"1121 N FERN CREEK AVE ORLANDO, FL 32803",Elementary,,
ORLANDO SCIENCE ELEMENTARY CHARTER,"2611 TECHNOLOGY DR ORLANDO, FL 32804-8014",Elementary,28.556192,-81.41308889999999
ORLANDO SCIENCE MIDDLE HIGH CHARTER,"2427 LYNX LN ORLANDO, FL 32804-4720",Elementary,28.5734381,-81.4128739
ORLO VISTA ELEMENTARY,"3 N HASTINGS ST ORLANDO, FL 32835-1441",Elementary,28.5415857,-81.4587107
PALM LAKE ELEMENTARY,"8000 PIN OAK DR ORLANDO, FL 32819-7107",Elementary,28.4836118,-81.4941423
PALMETTO ELEMENTARY,"2015 DUSKIN AVE ORLANDO, FL 32839-2609",Elementary,28.4810639,-81.4059401
PARENTALLY PLACED PRIVATE SCHOOL STUDENT,"445 W AMELIA ST ORLANDO, FL 32801-1129",Elementary,28.5498139,-81.38427620000002
PASSPORT CHARTER,"5221 CURRY FORD RD ORLANDO, FL 32812-8741",Elementary,28.5247919,-81.3204724
PERSHING K-8,"1800 E PERSHING AVE ORLANDO, FL 32806-7251",Elementary,28.497598,-81.3545649
PHILLIS WHEATLEY ELEMENTARY,"1475 MARVIN C ZANDERS AVE APOPKA, FL 32703-7026",Elementary,28.6569451,-81.5125724
PINAR ELEMENTARY,"3701 ANTHONY LN ORLANDO, FL 32822-7742",Elementary,28.5046536,-81.2747997
PINE HILLS ELEMENTARY,"1006 FERNDELL RD ORLANDO, FL 32808",Elementary,28.5602544,-81.4569516
PINECREST ACADEMY AVALON CHARTER,"13993 MAILER BLVD ORLANDO, FL 32828-4883",Elementary,28.5018061,-81.1519976
PINECREST CREEK CHARTER,"1100 LEE RD ORLANDO, FL 32810-5847",Elementary,28.6048749,-81.3985764
PINECREST PREPARATORY CHARTER,"8503 DAETWYLER DR ORLANDO, FL 32827-5018",Elementary,28.4422095,-81.33843739999999
PINELOCH ELEMENTARY,"3101 WOODS AVE ORLANDO, FL 32805-7015",Elementary,28.5086752,-81.3934664
PINEWOOD ELEMENTARY,"3005 N APOPKA VINELAND RD ORLANDO, FL 32818-8624",Elementary,28.5831405,-81.4902182
POSITIVE PATHWAYS TRANSITION CENTER,"6125 N ORANGE BLOSSOM TRL ORLANDO, FL 32810-1024",Elementary,28.611861,-81.42830649999999
PRAIRIE LAKE ELEMENTARY,"8723 HACKNEY PRAIRIE RD ORLANDO, FL 32818-8422",Elementary,28.5999261,-81.50426259999999
PRINCETON ELEMENTARY,"311 W PRINCETON ST ORLANDO, FL 32804-5499",Elementary,28.5719777,-81.3841903
PRINCETON HOUSE CHARTER,"1166 LEE RD ORLANDO, FL 32810-5847",Elementary,28.6030765,-81.39874809999999
RENAISSANCE CHARTER AT CENTRAL FLORIDA,"4780 DATA COURT ORLANDO, FL 32817",Elementary,28.6089576,-81.2165113
